Division,Calendar_Week,Paid_Views,Organic_Views,Google_Impressions,Email_Impressions,Facebook_Impressions,Affiliate_Impressions,Overall_Views,Sales
A,4/7/2021,604,22,130736,418862.0356,91874,6575,737,53473
A,4/14/2021,342,432,208099,508059.5563,61025,7733,550,59351
A,4/21/2021,833,10,209285,412036.2647,38548,8358,792,72647
A,4/28/2021,868,750,232531,473344.0824,27777,8208,905,62975
A,4/6/2021,3179,8439,432125,364178.8038,57047,8476,11929,79718
A,4/13/2021,4026,7447,510358,354103.6537,88100,7432,11555,55278
A,4/20/2021,6957,8715,546329,383993.2553,125562,7300,14161,75983
A,4/27/2021,8020,6160,467319,446418.0866,109421,8354,14159,90974
B,4/7/2021,727,714,1125284,3074436.302,922486,65094,688,395204
B,4/14/2021,138,555,1893757,3723371.309,501985,88040,466,543409
B,4/21/2021,320,651,1913649,3023108.156,309955,112846,627,667811
B,4/28/2021,384,819,2092279,3473209.751,411757,108438,940,582643
B,4/6/2021,25129,64628,3472944,2673952.087,456805,74042,89058,544685
B,4/13/2021,28143,60968,4200745,2594312.707,712343,69865,88905,472331
B,4/20/2021,45913,63300,4391027,2819125.584,1991810,72644,108750,579726
B,4/27/2021,59888,48963,3916949,3273840.882,732271,83282,107644,630316
C,4/7/2021,621,155,770,89348.93995,16788,3379,861,39520
C,4/14/2021,993,376,430,108189.4378,9852,3280,30,39494
C,4/21/2021,542,620,82,88344.52033,6638,3832,585,89292
C,4/28/2021,873,262,255,100937.4584,4184,2537,990,75097
C,4/6/2021,350,1657,696,77700.21059,8610,1637,1509,34730
C,4/13/2021,920,560,28,75003.14544,15336,2450,1516,43451
C,4/20/2021,1003,927,322,82304.70777,20712,1758,1029,55228
C,4/27/2021,108,1007,22,95272.79027,19328,1542,882,74918
D,4/7/2021,387,543,255053,1027642.764,192143,35135,639,109379
D,4/14/2021,990,203,407894,1244508.523,134657,32690,308,117220
D,4/21/2021,303,822,418282,1010776.702,93386,43480,804,135470
D,4/28/2021,262,393,435186,1161424.398,54943,33272,659,130197
D,4/6/2021,4763,16556,748956,893860.5116,114230,27342,21595,130627
D,4/13/2021,5846,15535,1002988,867179.0534,202647,26918,20785,125950
D,4/20/2021,10708,18238,941051,942919.7094,330490,23946,28179,170286
D,4/27/2021,13546,13953,771658,1094730.101,328108,27322,26155,145936
E,4/7/2021,410,509,635230,1632239.38,367907,108409,676,233616
E,4/14/2021,500,147,1055190,1976198.803,232953,79017,921,319769
E,4/21/2021,846,760,1068852,1605410.919,181601,106329,621,388403
E,4/28/2021,924,422,1111294,1843297.983,120639,80508,776,355257
E,4/6/2021,10359,27647,1773170,1419410.369,186438,98656,36471,282300
E,4/13/2021,11680,25612,2388538,1377552.963,345952,96293,37018,286684
E,4/20/2021,19381,27898,2487183,1497150.012,469292,82317,47351,328375
E,4/27/2021,26016,21979,2033902,1737939.603,415476,91525,46482,376197
F,4/7/2021,457,81,189371,547741.7968,108445,20395,322,57319
F,4/14/2021,269,437,309045,664028.2964,57519,21077,762,72387
F,4/21/2021,480,368,321307,538710.1559,40057,26620,973,82914
F,4/28/2021,960,354,336028,619500.2468,25809,19544,660,81138
F,4/6/2021,5458,13525,519571,476511.2737,54092,24184,19124,78111
F,4/13/2021,6332,12248,757820,462627.5939,96241,20649,17877,70758
F,4/20/2021,9775,13688,762006,502429.6121,140384,18082,22515,84673
F,4/27/2021,15232,10980,640568,583684.1278,127284,18891,25761,89341
G,4/7/2021,172,157,301770,1004596.36,141177,37985,628,101885
G,4/14/2021,75,625,480567,1216497.075,100185,38988,316,119219
G,4/21/2021,955,807,446165,987953.9456,73042,45844,19,139462
G,4/28/2021,845,136,468037,1134691.608,47853,36470,392,123215
G,4/6/2021,7240,16922,896877,873678.9458,101042,33288,23173,138984
G,4/13/2021,7560,15815,1206188,847899.8046,187114,30488,22905,127948
G,4/20/2021,12297,16607,1140064,921425.2763,255231,25061,28764,162429
G,4/27/2021,17113,12253,970876,1070033.804,236866,29383,28809,148999
H,4/7/2021,239,569,95522,428198.9143,70574,15324,337,48906
H,4/14/2021,644,779,160146,517573.2172,53553,15444,307,51691
H,4/21/2021,210,810,152008,420183.1191,39929,19510,436,65918
H,4/28/2021,988,332,152232,482801.8456,25197,13186,183,54791
H,4/6/2021,2390,6275,283485,371767.1264,51255,10757,7383,57033
H,4/13/2021,1932,5756,408783,361286.1847,95675,10666,7690,62065
H,4/20/2021,3270,6383,385995,392307.4907,141896,8001,9422,87542
H,4/27/2021,4893,4086,322865,455215.5447,139685,10466,8344,81431
I,4/7/2021,211,78,45350,614910.6104,88032,27948,603,71172
I,4/14/2021,872,435,81517,745043.2074,62918,27983,947,76308
I,4/21/2021,943,470,76055,604632.9749,45265,38988,45,85278
I,4/28/2021,98,108,78836,694748.5976,28146,25466,674,80231
I,4/6/2021,2751,8047,145767,534592.8811,55155,18492,10367,79012
I,4/13/2021,2414,6713,209120,519019.1131,111249,18104,8881,83243
I,4/20/2021,4691,6551,202166,564165.1746,150383,14354,11097,96883
I,4/27/2021,5369,4837,169504,654994.9989,127000,18751,9963,90160
J,4/7/2021,200,738,62869,457018.988,69595,14391,254,42565
J,4/14/2021,609,820,105692,553174.1969,38258,13891,724,47430
J,4/21/2021,633,879,99303,449211.2053,27226,18214,506,60455
J,4/28/2021,291,581,108899,515785.7323,18321,13756,614,57409
J,4/6/2021,2106,5994,179468,397683.4677,37726,12993,6947,55666
J,4/13/2021,1971,5549,270747,385484.1681,72983,12506,6641,50211
J,4/20/2021,3270,5390,260096,419341.651,102655,12570,8417,70793
J,4/27/2021,3437,5126,211957,486666.1096,93822,11153,7726,82786
K,4/7/2021,590,186,169552,650330.7782,95209,18594,552,63871
K,4/14/2021,49,193,272818,787176.1367,67615,17596,47,78232
K,4/21/2021,856,377,248505,638731.8068,49498,21922,472,86582
K,4/28/2021,467,766,258367,733656.9518,30780,15367,229,68706
K,4/6/2021,3530,8978,506029,564900.7935,64526,14124,12683,92694
K,4/13/2021,3294,9337,721190,548988.7885,126195,14787,12005,80375
K,4/20/2021,6248,9840,661169,595523.0488,178469,13030,15619,111065
